Year,Series,ávísi,Units,Value
1998,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,816.9804
1998,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,18.3619985166206
1998,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,109.453176495807
1998,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,357.4399
1998,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,8.0336210190367
1998,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,47.887235068728096
1998,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,2.6467
1998,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,0.059485761805228
1998,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,0.354585889981512
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,287.7992
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,6.46841525633246
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,38.557273384957504
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,169.0946
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,3.80047647944621
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,22.6540821521396
1999,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,876.179
1999,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,19.4486026947238
1999,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,110.995844840254
1999,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,364.6673
1999,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,8.09454396128832
1999,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,46.196673338569504
1999,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,3.847
1999,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,0.085392111162904
1999,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,0.487344498213788
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,311.0436
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,6.90425517746554
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,39.4035318857838
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,196.6212
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,4.36441366451355
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,24.9083077858573
2000,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,1134.8877
2000,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,24.8146956892499
2000,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,131.428801389693
2000,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,430.5354
2000,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,9.41379921066154
2000,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,49.859339895773
2000,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,5.5322
2000,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,0.120963386502531
2000,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,0.640671685002895
2000,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,497.3744
2000,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,10.8752560976943
2000,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,57.5998147075854
2000,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,201.4457
2000,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,4.40467699439154
2000,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,23.3289751013318
2001,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,1171.6473
2001,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,25.1783061847252
2001,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,121.146826176419
2001,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,478.6818
2001,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,10.286710792109
2001,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,49.495083391064306
2001,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,7.1933
2001,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,0.154581596252203
2001,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,0.74377798227746
2001,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,467.5236
2001,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,10.0469248291572
2001,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,48.3413398405592
2001,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,218.2485
2001,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,4.69008681824043
2001,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,22.5666146226464
2002,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,1120.9659
2002,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,23.7018236792862
2002,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,111.244457455888
2002,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,467.8751
