Year,Units,data.measure,Value
1998,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.1003687843625
1998,data.dkkpercapita,data.manufacturingvalueaddedpercapita,16805.0795077822
1999,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.8414897673827
1999,data.dkkpercapita,data.manufacturingvalueaddedpercapita,18931.8772058334
2000,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.5302819514005
2000,data.dkkpercapita,data.manufacturingvalueaddedpercapita,19860.2805322022
2001,data.percent,data.manufacturingvalueaddedasaproportionofgdp,11.2595400084915
2001,data.dkkpercapita,data.manufacturingvalueaddedpercapita,23365.962156296
2002,data.percent,data.manufacturingvalueaddedasaproportionofgdp,11.2700541399692
2002,data.dkkpercapita,data.manufacturingvalueaddedpercapita,23988.4973622168
2003,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.5474869369233
2003,data.dkkpercapita,data.manufacturingvalueaddedpercapita,21788.4209867006
2004,data.percent,data.manufacturingvalueaddedasaproportionofgdp,9.60883366236984
2004,data.dkkpercapita,data.manufacturingvalueaddedpercapita,20589.9735600601
2005,data.percent,data.manufacturingvalueaddedasaproportionofgdp,9.16042831422344
2005,data.dkkpercapita,data.manufacturingvalueaddedpercapita,20052.2723972702
2006,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.93346779234417
2006,data.dkkpercapita,data.manufacturingvalueaddedpercapita,22242.742420784
2007,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.94297449913217
2007,data.dkkpercapita,data.manufacturingvalueaddedpercapita,23584.1143271372
2008,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.8721176646683
2008,data.dkkpercapita,data.manufacturingvalueaddedpercapita,23242.9029894641
2009,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.61490466248
2009,data.dkkpercapita,data.manufacturingvalueaddedpercapita,21843.650221444
2010,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.19798386481829
2010,data.dkkpercapita,data.manufacturingvalueaddedpercapita,22185.9942012237
2011,data.percent,data.manufacturingvalueaddedasaproportionofgdp,7.97689665938183
2011,data.dkkpercapita,data.manufacturingvalueaddedpercapita,22215.3215538925
2012,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.27483196415235
2012,data.dkkpercapita,data.manufacturingvalueaddedpercapita,24185.0989522701
2013,data.percent,data.manufacturingvalueaddedasaproportionofgdp,7.70228679220306
2013,data.dkkpercapita,data.manufacturingvalueaddedpercapita,24205.4247441551
2014,data.percent,data.manufacturingvalueaddedasaproportionofgdp,9.08479467801502
2014,data.dkkpercapita,data.manufacturingvalueaddedpercapita,30725.9623835472
2015,data.percent,data.manufacturingvalueaddedasaproportionofgdp,9.32147600623665
2015,data.dkkpercapita,data.manufacturingvalueaddedpercapita,33048.4097167484
2016,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.27850587701049
2016,data.dkkpercapita,data.manufacturingvalueaddedpercapita,31710.5236544568
2017,data.percent,data.manufacturingvalueaddedasaproportionofgdp,9.23514763429385
2017,data.dkkpercapita,data.manufacturingvalueaddedpercapita,36255.1748216869
2018,data.percent,data.manufacturingvalueaddedasaproportionofgdp,8.99388124043944
2018,data.dkkpercapita,data.manufacturingvalueaddedpercapita,35604.5338812265
2019,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.4125258775413
2019,data.dkkpercapita,data.manufacturingvalueaddedpercapita,43897.8606469342
2020,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.8515144699355
2020,data.dkkpercapita,data.manufacturingvalueaddedpercapita,44132.3322026146
2021,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.7790320194258
2021,data.dkkpercapita,data.manufacturingvalueaddedpercapita,46547.9009283271
2022,data.percent,data.manufacturingvalueaddedasaproportionofgdp,10.3861729651105
2022,data.dkkpercapita,data.manufacturingvalueaddedpercapita,48501.8326915047
